Most common words,Absolute frequency,Relative frequency
harwin,57.0,0.0002659562058780987
arryn,56.0,0.00026129030752936017
meat,56.0,0.00026129030752936017
paul,56.0,0.00026129030752936017
live,56.0,0.00026129030752936017
mounted,56.0,0.00026129030752936017
halfhand,56.0,0.00026129030752936017
pass,56.0,0.00026129030752936017
easy,56.0,0.00026129030752936017
pray,56.0,0.00026129030752936017
chain,56.0,0.00026129030752936017
beautiful,56.0,0.00026129030752936017
fallen,56.0,0.00026129030752936017
boots,56.0,0.00026129030752936017
sorry,56.0,0.00026129030752936017
coin,56.0,0.00026129030752936017
whatever,56.0,0.00026129030752936017
dothraki,56.0,0.00026129030752936017
tourney,56.0,0.00026129030752936017
sing,56.0,0.00026129030752936017
goat,56.0,0.00026129030752936017
heads,55.0,0.00025662440918062157
learned,55.0,0.00025662440918062157
pull,55.0,0.00025662440918062157
tent,55.0,0.00025662440918062157
beat,55.0,0.00025662440918062157
shouting,55.0,0.00025662440918062157
dying,55.0,0.00025662440918062157
waited,55.0,0.00025662440918062157
finger,55.0,0.00025662440918062157
glanced,55.0,0.00025662440918062157
protect,55.0,0.00025662440918062157
needs,55.0,0.00025662440918062157
faces,55.0,0.00025662440918062157
arstan,55.0,0.00025662440918062157
neither,54.0,0.000251958510831883
ear,54.0,0.000251958510831883
daughters,54.0,0.000251958510831883
bow,54.0,0.000251958510831883
mud,54.0,0.000251958510831883
dawn,54.0,0.000251958510831883
answered,54.0,0.000251958510831883
flew,54.0,0.000251958510831883
mail,54.0,0.000251958510831883
riding,54.0,0.000251958510831883
balon,54.0,0.000251958510831883
common,54.0,0.000251958510831883
whitebeard,54.0,0.000251958510831883
narrow,53.0,0.0002472926124831444
tarly,53.0,0.0002472926124831444
edge,53.0,0.0002472926124831444
blind,53.0,0.0002472926124831444
wants,53.0,0.0002472926124831444
move,53.0,0.0002472926124831444
dreams,53.0,0.0002472926124831444
question,53.0,0.0002472926124831444
insisted,53.0,0.0002472926124831444
lad,53.0,0.0002472926124831444
ships,53.0,0.0002472926124831444
littlefinger,53.0,0.0002472926124831444
silence,52.0,0.00024262671413440587
taking,52.0,0.00024262671413440587
sounded,52.0,0.00024262671413440587
climb,52.0,0.00024262671413440587
front,52.0,0.00024262671413440587
stones,52.0,0.00024262671413440587
ago,52.0,0.00024262671413440587
alive,52.0,0.00024262671413440587
cousin,52.0,0.00024262671413440587
woke,52.0,0.00024262671413440587
hoster,52.0,0.00024262671413440587
thank,52.0,0.00024262671413440587
greyjoy,52.0,0.00024262671413440587
surely,52.0,0.00024262671413440587
wound,52.0,0.00024262671413440587
fit,52.0,0.00024262671413440587
dressed,52.0,0.00024262671413440587
slid,52.0,0.00024262671413440587
slaves,52.0,0.00024262671413440587
janos,52.0,0.00024262671413440587
lothar,52.0,0.00024262671413440587
kraznys,52.0,0.00024262671413440587
apart,51.0,0.0002379608157856673
till,51.0,0.0002379608157856673
smallwood,51.0,0.0002379608157856673
moving,51.0,0.0002379608157856673
among,51.0,0.0002379608157856673
