Most common words,GOT1 relative frequency,GOT2 relative frequency,Relative frequency difference
old,0.002927047122441097,0.0031261518936548448,0.00019910477121374767
line,0.00040435496330629584,0.00020529952734449727,0.00019905543596179857
axe,0.0004767767477790653,0.0002799539009243145,0.0001968228468547508
sent,0.0010923619157976053,0.0008958524829578063,0.00019650943283979904
helm,0.0005129876400154499,0.0003172810877142231,0.00019570655230122686
arrows,0.0002112302047122441,0.000405933156340256,0.00019470295162801187
host,0.00040435496330629584,0.00020996542569323584,0.00019438953761306
donal,1.2070297412128235e-05,0.00020529952734449727,0.00019322922993236905
instead,0.0003440034762456547,0.0005365783101049361,0.00019257483385928142
knights,0.00071818269602163,0.0005272465134074589,0.00019093618261417113
harrenhal,0.0006940421011973735,0.000503917021663766,0.00019012507953360743
says,0.00046470645036693705,0.00027528800257557587,0.00018941844779136118
third,0.00022330050212437233,0.00041059905468899453,0.0001872985525646222
keep,0.001544998068752414,0.0013577764194829252,0.00018722164926948887
river,0.0006819718037852453,0.0008678570928653749,0.00018588528908012963
commanded,0.0005310930861336424,0.0003452764778066545,0.0001858166083269879
leg,0.0002715816917728853,0.0004572580381763803,0.000185676346403495
lannisters,0.0004888470451911935,0.0003032833926680073,0.00018556365252318617
five,0.00031382773271533413,0.0004992511233150275,0.00018542339059969337
enough,0.00164156044804944,0.0018243662543567826,0.00018280580630734258
least,0.0003681440710699112,0.0005505760051511517,0.00018243193408124057
six,0.0002474410969486288,0.00042926264808394884,0.00018182155113532003
stump,4.224604094244882e-05,0.00022396312073945157,0.00018171707979700274
robert,0.0011466782541521823,0.0009658409581888849,0.00018083729596329737
marry,0.00010863267670915411,0.0002892856976217916,0.00018065302091263753
wolf,0.000875096562379297,0.0006952188539620476,0.0001798777084172494
gates,0.0004767767477790653,0.0002986174943192688,0.0001781592534597965
hundred,0.0009656237929702588,0.0011431450954409506,0.00017752130247069187
duty,0.00012673812282734646,0.0003032833926680073,0.00017654526984066087
made,0.002842555040556199,0.0030188362316338575,0.0001762811910776584
tell,0.0016717361915797606,0.0018476957461004753,0.00017595955452071477
yard,0.0004828118964851294,0.00030794929101674593,0.00017486260546838346
fair,0.00015691386635766706,0.0003312787827604388,0.00017436491640277171
free,0.0005733391270760912,0.0007465437357981719,0.0001732046087220807
singer,0.00016294901506373117,0.0003359446811091774,0.0001729956660454462
gift,0.00016898416376979529,0.00034061057945791593,0.00017162641568812064
followed,0.0004888470451911935,0.0003172810877142231,0.00017156595747697042
boat,9.656237929702588e-05,0.0002659562058780987,0.00016939382658107284
dragon,0.0003681440710699112,0.0005365783101049361,0.00016843423903502492
aye,0.0002655465430668212,0.00043392854643268744,0.00016838200336586625
boys,0.0004948821938972576,0.00032661288441170023,0.00016826930948555738
battle,0.0011527134028582464,0.0009845045515838391,0.0001682088512744073
floor,0.0003500386249517188,0.0005179147167099818,0.000167876091758263
found,0.0012553109308613365,0.0014230989963652653,0.00016778806550392877
golden,0.0005914445731942835,0.0004245967497352103,0.0001668478234590732
loras,0.0002112302047122441,0.00037793776624782453,0.00016670756153558042
home,0.0005069524913093858,0.00034061057945791593,0.0001663419118514699
nose,0.00033796832753959057,0.000503917021663766,0.00016594869412417547
dorne,0.0001327732715334106,0.0002986174943192688,0.00016584422278585818
till,7.242178447276941e-05,0.0002379608157856673,0.0001655390313128979
kiss,0.00021726535341830822,0.0003826036645965631,0.00016533831117825486
giants,0.00011466782541521824,0.0002799539009243145,0.00016528607550909624
cut,0.0006095500193124758,0.0007745391258906034,0.00016498910657812755
half,0.0017019119351100811,0.0018663593394954298,0.00016444740438534863
passed,0.00047074159907300117,0.00030794929101674593,0.00016279230805625524
named,0.00042849555813055234,0.0002659562058780987,0.00016253935225245362
side,0.0009173426033217459,0.0007558755324956491,0.00016146707082609682
stood,0.0010018346852066434,0.001161808688835905,0.00015997400362926162
mountain,0.0002414059482425647,0.0004012672579915174,0.0001598613097489527
open,0.0007845693317883352,0.000625230378730969,0.0001593389530573663
standing,0.00016294901506373117,0.0003219469860629616,0.00015899797099923045
find,0.0010682213209733489,0.0012271312657182452,0.0001589099447448963
send,0.000669901506373117,0.0005132488183612431,0.0001566526880118739
warm,0.0002776168404789494,0.00043392854643268744,0.00015631170595373803
amongst,7.242178447276941e-05,0.00022862901908819014,0.00015620723461542074
guard,0.0004828118964851294,0.00032661288441170023,0.00015619901207342916
tongue,0.00042849555813055234,0.0005832372935923218,0.00015474173546176946
grace,0.00112857280803399,0.001283122045903108,0.00015454923786911798
meera,0.0003681440710699112,0.0005225806150587203,0.00015443654398880917
began,0.0004767767477790653,0.0006298962770797075,0.00015311952930064222
thick,0.000519022788721514,0.0006718893622183548,0.0001528665734968407
trident,0.0002112302047122441,0.0003639400712016088,0.00015270986648936467
fat,0.0003560737736577829,0.0005085829200125046,0.0001525091463547217
called,0.0014725762842796447,0.0013204492326930166,0.00015212705158662815
frozen,0.00011466782541521824,0.0002659562058780987,0.00015128838046288049
filled,0.00044056585554268056,0.0002892856976217916,0.00015128015792088893
beside,0.0009957995365005793,0.0008445276011216819,0.0001512719353788974
pay,0.00019915990730011587,0.0003499423761553931,0.00015078246885527721
kissed,0.00019915990730011587,0.0003499423761553931,0.00015078246885527721
nine,0.0001388084202394747,0.0002892856976217916,0.00015047727738231692
bronze,0.0001388084202394747,0.0002892856976217916,0.00015047727738231692
melisandre,0.0002836519891850135,0.00043392854643268744,0.00015027655724767392
westeros,0.00012070297412128235,0.0002706221042268373,0.00014991913010555498
ought,0.00043453070683661645,0.000284619799273053,0.00014991090756356342
words,0.00071818269602163,0.0008678570928653749,0.00014967439684374485
walder,0.0006397257628427965,0.0007885368209368191,0.00014881105809402264
think,0.001484646581691773,0.001633064422058501,0.0001484178403667281
tully,0.0002112302047122441,0.00035927417285287023,0.00014804396814062612
die,0.0007061123986095017,0.0008538593978191591,0.00014774699920965743
look,0.001695876786404017,0.0018430298477517368,0.00014715306134771978
jojen,0.0003802143684820394,0.0005272465134074589,0.0001470321449254195
rhaegar,0.00015691386635766706,0.0003032833926680073,0.00014636952631034026
boy,0.0022269698725376594,0.0020809906635374043,0.0001459792090002551
near,0.0006216203167246041,0.0004759216315713346,0.00014569868515326956
soon,0.0007483584395519506,0.0008911865846090677,0.00014282814505711715
north,0.0007906044804943993,0.0009331796697477149,0.00014257518925331553
aerys,0.00021726535341830822,0.00035927417285287023,0.000142008819434562
short,0.000259511394360757,0.0004012672579915174,0.00014175586363076036
sweet,0.0009113074546156818,0.0007698732275418648,0.00014143422707381696
banners,0.0003741792197759753,0.00023329491743692872,0.00014088430233904657
swords,0.0005310930861336424,0.0006718893622183548,0.00014079627608471238
goat,0.00012070297412128235,0.00026129030752936017,0.00014058733340807783
dream,0.00043453070683661645,0.0002939515959705302,0.00014057911086608627
empty,0.0005371282348397065,0.00039660135964277883,0.00014052687519692766
cannot,0.0003500386249517188,0.0004899193266175503,0.0001398807016658315
bird,0.00041039011201236,0.0002706221042268373,0.00013976800778552268
cell,0.00018708960988798764,0.00032661288441170023,0.00013952327452371259
legs,0.00043453070683661645,0.0005739054968948447,0.00013937479005822826
want,0.0016294901506373118,0.0017683754741719196,0.0001388853235346078
mouth,0.0009716589416763229,0.0011104838069997808,0.00013882486532345792
nothing,0.0013518733101583623,0.0012131335706720293,0.00013873973948633298
burning,0.0005069524913093858,0.0003686059695503474,0.00013834652175903845
wish,0.00033796832753959057,0.0004759216315713346,0.00013795330403174402
one,0.007103370027037466,0.0069661862346666915,0.00013718379237077482
mad,0.00019915990730011587,0.0003359446811091774,0.00013678477380906152
course,0.0001388084202394747,0.00027528800257557587,0.00013647958233610117
please,0.00042849555813055234,0.0005645737001973675,0.00013607814206681516
ears,0.00046470645036693705,0.0003312787827604388,0.00013342766760649828
return,0.00046470645036693705,0.0003312787827604388,0.00013342766760649828
hill,0.00021726535341830822,0.0003499423761553931,0.00013267702273708486
certain,0.0007061123986095017,0.0005739054968948447,0.000132206901714657
